container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
23,Part of a Fortune 500/Unicorn company? Swipe,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D1DAQFNvEoTJeJITg/ssu-carousel-card-shrink_1080_1080/B4DZVH2whNHIA4-/0/1740667292826?e=1746885600&v=beta&t=vjEAVfE_h0v08E7M4uLauzj8JhlQBQaRRrqoJNxDG10', 'https://media.licdn.com/dms/image/v2/D4D1DAQHnVMK3L1-LZw/ssu-carousel-card-shrink_1080_1080/B4DZVH2yrbHIAw-/0/1740667301732?e=1746885600&v=beta&t=_Vszhh0xaDKxNP-XGms4gmYpppVGqzFMl3-irYLNq9c', 'https://media.licdn.com/dms/image/v2/D4D1DAQF0xnLVeKjYIA/ssu-carousel-card-shrink_1080_1080/B4DZVH21mKHkAs-/0/1740667313319?e=1746885600&v=beta&t=1FYFmxoOZfThndT8ls-SqHtz6yO1v4gB8ddmP_z2fgw']",Active,/ad-library/detail/625551313,"['/ad-library/detail/625551313', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313', '/ad-library/detail/625551313']",PUMA Group Overview,True,all-time
24,Part of a Fortune 500/Unicorn company? Swipe,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D1DAQFNvEoTJeJITg/ssu-carousel-card-shrink_1080_1080/B4DZVH2whNHIA4-/0/1740667292826?e=1746885600&v=beta&t=vjEAVfE_h0v08E7M4uLauzj8JhlQBQaRRrqoJNxDG10', 'https://media.licdn.com/dms/image/v2/D4D1DAQHnVMK3L1-LZw/ssu-carousel-card-shrink_1080_1080/B4DZVH2yrbHIAw-/0/1740667301732?e=1746885600&v=beta&t=_Vszhh0xaDKxNP-XGms4gmYpppVGqzFMl3-irYLNq9c', 'https://media.licdn.com/dms/image/v2/D4D1DAQF0xnLVeKjYIA/ssu-carousel-card-shrink_1080_1080/B4DZVH21mKHkAs-/0/1740667313319?e=1746885600&v=beta&t=1FYFmxoOZfThndT8ls-SqHtz6yO1v4gB8ddmP_z2fgw']",Active,/ad-library/detail/625551313,"['/ad-library/detail/625551313', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/625551313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/625551313', '/ad-library/detail/625551313']",PUMA Group Overview,True,all-time
25,No title found,PUMA Group,No image found,[],Active,No link found,[],PUMA Group Overview,,all-time
26,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQGxEGwa8l_wVA/image-shrink_1280/B4DZVHWznwGkAM-/0/1740658917018/1200x628copyjpg?e=1746885600&v=beta&t=1KvVs2HTPjbI9JETs7SXv4dRAVJI9Q6TthnN4479LqQ']",Active,/ad-library/detail/625476593?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625476593?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625476593', '/ad-library/detail/625476593']",PUMA Group Overview,True,all-time
27,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQGxEGwa8l_wVA/image-shrink_1280/B4DZVHWznwGkAM-/0/1740658917018/1200x628copyjpg?e=1746885600&v=beta&t=1KvVs2HTPjbI9JETs7SXv4dRAVJI9Q6TthnN4479LqQ']",Active,/ad-library/detail/625476593?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625476593?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625476593', '/ad-library/detail/625476593']",PUMA Group Overview,True,all-time
28,No title found,PUMA Group,No image found,[],Active,No link found,[],PUMA Group Overview,,all-time
29,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],PUMA Group Overview,,all-time
30,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…","As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],PUMA Group Overview,,all-time
31,No title found,No text found,No image found,[],Active,No link found,[],PUMA Group Overview,,all-time
32,No title found,No text found,No image found,[],Active,No link found,[],PUMA Group Overview,,all-time
