container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
351,Engineering careers at Goldman Sachs,Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D10AQFMNLAaJxt7qA/image-shrink_1280/B4DZTsdDBgHAAQ-/0/1739133826583/ENG_Awareness_Patented-Technology_Warsaw_English_SOCIAL_1-1_STATIC_V2jpg?e=1746878400&v=beta&t=eIbCcZ_83U2wQV-zIte3D5-74L0afy3ZpvIQk2XibQ4']",Active,/ad-library/detail/590422243?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/590422243?trk=ad_library_ad_preview_content_image', '/ad-library/detail/590422243', '/ad-library/detail/590422243']",Nike,True,last-30-days
352,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
353,Engineering careers at Goldman Sachs,Engineering careers at Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
354,Engineering roles at Goldman Sachs in Hyderabad,Promoted,No image found,[],Active,/ad-library/detail/638899483,"['/ad-library/detail/638899483', '/ad-library/detail/638899483', '/ad-library/detail/638899483']",Nike,True,last-30-days
355,Engineering roles at Goldman Sachs in Hyderabad,Promoted,No image found,[],Active,/ad-library/detail/638899483,"['/ad-library/detail/638899483', '/ad-library/detail/638899483', '/ad-library/detail/638899483']",Nike,True,last-30-days
356,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
357,Engineering roles at Goldman Sachs in Hyderabad,Engineering roles at Goldman Sachs in Hyderabad,No image found,[],Active,No link found,[],Nike,,last-30-days
358,Support Rural Small Businesses,Promoted,No image found,[],Active,/ad-library/detail/633635553,"['/ad-library/detail/633635553', '/ad-library/detail/633635553', '/ad-library/detail/633635553']",Nike,True,last-30-days
359,Support Rural Small Businesses,Promoted,No image found,[],Active,/ad-library/detail/633635553,"['/ad-library/detail/633635553', '/ad-library/detail/633635553', '/ad-library/detail/633635553']",Nike,True,last-30-days
360,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
361,Support Rural Small Businesses,Support Rural Small Businesses,No image found,[],Active,No link found,[],Nike,,last-30-days
