container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
777,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
778,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D1DAQF7q0bQd1Eqiw/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698082803?e=1746878400&v=beta&t=VC0kj0oNUlnjpegTLZlKMBtW2kGErSbvZtZqrTpvueA', 'https://media.licdn.com/dms/image/v2/D4D1DAQGJbUqZvDoKdQ/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698087000?e=1746878400&v=beta&t=lfVqhwp6BAKLDweyKdAdV5n1syagCpqvVXpPPHqfzok', 'https://media.licdn.com/dms/image/v2/D4D1DAQFzDh3HGBDmCg/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698091583?e=1746878400&v=beta&t=KH3xRSbRZo_I4yxmZS2UUoEvHv61b5Wdgx6HVWgvTRU', 'https://media.licdn.com/dms/image/v2/D4D1DAQE5U4MvvCA0Pg/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698095155?e=1746878400&v=beta&t=EF158rGTfU_M43RAAg62jzvZCNAwt98whalXnUHZGBk', 'https://media.licdn.com/dms/image/v2/D4D1DAQFDWNXPxolgew/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698099487?e=1746878400&v=beta&t=kIb0PfPrMDWe5Tq7_lG0NXbx37YVG6J-zGAInySPsTU']",Active,/ad-library/detail/522527103,"['/ad-library/detail/522527103', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103', '/ad-library/detail/522527103']",Nike,True,all-time
779,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D1DAQF7q0bQd1Eqiw/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698082803?e=1746878400&v=beta&t=VC0kj0oNUlnjpegTLZlKMBtW2kGErSbvZtZqrTpvueA', 'https://media.licdn.com/dms/image/v2/D4D1DAQGJbUqZvDoKdQ/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698087000?e=1746878400&v=beta&t=lfVqhwp6BAKLDweyKdAdV5n1syagCpqvVXpPPHqfzok', 'https://media.licdn.com/dms/image/v2/D4D1DAQFzDh3HGBDmCg/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698091583?e=1746878400&v=beta&t=KH3xRSbRZo_I4yxmZS2UUoEvHv61b5Wdgx6HVWgvTRU', 'https://media.licdn.com/dms/image/v2/D4D1DAQE5U4MvvCA0Pg/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698095155?e=1746878400&v=beta&t=EF158rGTfU_M43RAAg62jzvZCNAwt98whalXnUHZGBk', 'https://media.licdn.com/dms/image/v2/D4D1DAQFDWNXPxolgew/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726698099487?e=1746878400&v=beta&t=kIb0PfPrMDWe5Tq7_lG0NXbx37YVG6J-zGAInySPsTU']",Active,/ad-library/detail/522527103,"['/ad-library/detail/522527103', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/522527103?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/522527103', '/ad-library/detail/522527103']",Nike,True,all-time
780,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
781,"When Small Businesses Win, America Wins.",Promoted,No image found,[],Active,/ad-library/detail/572563156,"['/ad-library/detail/572563156', '/ad-library/detail/572563156', '/ad-library/detail/572563156']",Nike,True,all-time
782,"When Small Businesses Win, America Wins.",Promoted,No image found,[],Active,/ad-library/detail/572563156,"['/ad-library/detail/572563156', '/ad-library/detail/572563156', '/ad-library/detail/572563156']",Nike,True,all-time
783,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
784,"When Small Businesses Win, America Wins.","When Small Businesses Win, America Wins.",No image found,[],Active,No link found,[],Nike,,all-time
785,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4D1DAQGHnO8QN42FxA/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726697089155?e=1746878400&v=beta&t=iBiMZS64R6AjvBNV40bUSJy-lyItRsYKh7NLI9lH2Fg,"['https://media.licdn.com/dms/image/v2/D4D1DAQGHnO8QN42FxA/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726697089155?e=1746878400&v=beta&t=iBiMZS64R6AjvBNV40bUSJy-lyItRsYKh7NLI9lH2Fg', 'https://media.licdn.com/dms/image/v2/D4D1DAQGB7XdwxjYGqw/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726697093274?e=1746878400&v=beta&t=rtFHD7YBNzTMnw681uV6DVh6pagnfsdnhiQMc33zbZM', 'https://media.licdn.com/dms/image/v2/D4D1DAQGbbF4tq8Peaw/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726697096886?e=1746878400&v=beta&t=bHyryXZligh3QL4wWmUBNdb7Wu8pfys0kisL4iUU7zQ']",Active,/ad-library/detail/505413803,"['/ad-library/detail/505413803', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803', '/ad-library/detail/505413803']",Nike,True,all-time
786,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4D1DAQGHnO8QN42FxA/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726697089155?e=1746878400&v=beta&t=iBiMZS64R6AjvBNV40bUSJy-lyItRsYKh7NLI9lH2Fg,"['https://media.licdn.com/dms/image/v2/D4D1DAQGHnO8QN42FxA/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726697089155?e=1746878400&v=beta&t=iBiMZS64R6AjvBNV40bUSJy-lyItRsYKh7NLI9lH2Fg', 'https://media.licdn.com/dms/image/v2/D4D1DAQGB7XdwxjYGqw/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726697093274?e=1746878400&v=beta&t=rtFHD7YBNzTMnw681uV6DVh6pagnfsdnhiQMc33zbZM', 'https://media.licdn.com/dms/image/v2/D4D1DAQGbbF4tq8Peaw/ssu-carousel-card-shrink_1080_1080/ssu-carousel-card-shrink_1080_1080/0/1726697096886?e=1746878400&v=beta&t=bHyryXZligh3QL4wWmUBNdb7Wu8pfys0kisL4iUU7zQ']",Active,/ad-library/detail/505413803,"['/ad-library/detail/505413803', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505413803?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505413803', '/ad-library/detail/505413803']",Nike,True,all-time
