company_name,company_id,url,industry,location,company_size,followers,organization_type,website,about,snapshot_date,all_time_ads,last_30_days_ads
Apple,162479,https://www.linkedin.com/company/apple,Computers and Electronics Manufacturing,"Cupertino, California","10,001+ employees",17822086,Public Company,https://www.apple.com/careers,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own. Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more.",2025-05-13,2063,237
Google,1441,https://www.linkedin.com/company/google,Software Development,"Mountain View, CA","10,001+ employees",37290568,Public Company,https://goo.gle/3DLEokh,"A problem isn't truly solved until it's solved for all. Googlers build products that help create opportunities for everyone, whether down the street or across the globe. Bring your insight, imagination and a healthy disregard for the impossible. Bring everything that makes you unique. Together, we can build for everyone. Check out our career opportunities at goo.gle/3DLEokh",2025-05-13,1533,285
Amazon,1586,https://www.linkedin.com/company/amazon,Software Development,"Seattle, WA","10,001+ employees",34201187,Public Company,https://www.aboutamazon.com/,N/A,2025-05-13,1931,575
Netflix,165158,https://www.linkedin.com/company/netflix,Entertainment Providers,"Los Gatos, CA","10,001+ employees",10895464,Public Company,https://jobs.netflix.com/?utm_campaign=LIHomePage&utm_source=linkedin,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.",2025-05-13,98,5
Meta,10667,https://www.linkedin.com/company/meta,Software Development,"Menlo Park, CA","10,001+ employees",10920600,Public Company,https://www.metacareers.com/,"Meta's mission is to build the future of human connection and the technology that makes it possible. Our technologies help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To help create a safe and respectful online space, we encourage constructive conversations on this page. Please note the following: • Start with an open mind. Whether you agree or disagree, engage with empathy. • Comments violating our Community Standards will be removed or hidden. Please treat everybody with respect. • Keep it constructive. Use your interactions here to learn about and grow your understanding of others. • Our moderators are here to uphold these guidelines for the benefit of everyone, every day. • If you are seeking support for issues related to your Facebook account, please reference our Help Center (https://www.facebook.com/help) or Help Community (https://www.facebook.com/help/community). For a full listing of our jobs, visit https://www.metacareers.com",2025-05-13,659,103
Microsoft,1035,https://www.linkedin.com/company/microsoft,Software Development,"Redmond, Washington","10,001+ employees",25403004,Public Company,https://news.microsoft.com/,"Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn’t just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. Because impact matters. Microsoft operates in 190 countries and is made up of approximately 228,000 passionate employees worldwide.",2025-05-13,11433,1473
