container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
829,Explore CSPM in Microsoft Defender for Cloud,Promoted,No image found,[],Active,/ad-library/detail/687213546?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687213546?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687213546', '/ad-library/detail/687213546']",Apple,True,last-30-days
830,Explore CSPM in Microsoft Defender for Cloud,Promoted,No image found,[],Active,/ad-library/detail/687213546?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687213546?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687213546', '/ad-library/detail/687213546']",Apple,True,last-30-days
831,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
832,Explore CSPM in Microsoft Defender for Cloud,Join our free on-demand webinar and explore CSPM in Microsoft Defender for Cloud,No image found,[],Active,No link found,[],Apple,,last-30-days
833,Join our free on-demand webinar and explore CSPM in Microsoft Defender for Cloud,Join our free on-demand webinar and explore CSPM in Microsoft Defender for Cloud,No image found,[],Active,No link found,[],Apple,,last-30-days
834,Transformez vos flux de travail financiers quotidiens avec l'IA,Promoted,No image found,[],Active,/ad-library/detail/667356734?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/667356734?trk=ad_library_ad_preview_content_image', '/ad-library/detail/667356734', '/ad-library/detail/667356734']",Apple,True,last-30-days
835,Transformez vos flux de travail financiers quotidiens avec l'IA,Promoted,No image found,[],Active,/ad-library/detail/667356734?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/667356734?trk=ad_library_ad_preview_content_image', '/ad-library/detail/667356734', '/ad-library/detail/667356734']",Apple,True,last-30-days
836,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
837,Transformez vos flux de travail financiers quotidiens avec l'IA,Transformez vos flux de travail financiers quotidiens avec l'IA,No image found,[],Active,No link found,[],Apple,,last-30-days
838,L'IA révolutionne les pratiques RH,Promoted,No image found,[],Active,/ad-library/detail/667346104?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/667346104?trk=ad_library_ad_preview_content_image', '/ad-library/detail/667346104', '/ad-library/detail/667346104']",Apple,True,last-30-days
