container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
495,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
496,Save on a new iPhone 16e by trading in your current iPhone.,Save on a new iPhone 16e by trading in your current iPhone.,No image found,[],Active,No link found,[],Apple,,all-time
497,Upgrade to iPhone.,Promoted,No image found,[],Active,/ad-library/detail/666283926,"['/ad-library/detail/666283926', '/ad-library/detail/666283926', '/ad-library/detail/666283926']",Apple,True,all-time
498,Upgrade to iPhone.,Promoted,No image found,[],Active,/ad-library/detail/666283926,"['/ad-library/detail/666283926', '/ad-library/detail/666283926', '/ad-library/detail/666283926']",Apple,True,all-time
499,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
500,Upgrade to iPhone.,Upgrade to iPhone.,No image found,[],Active,No link found,[],Apple,,all-time
501,Save on a new iPhone 16e by trading in your current iPhone.,Promoted,No image found,[],Active,/ad-library/detail/668361296,"['/ad-library/detail/668361296', '/ad-library/detail/668361296', '/ad-library/detail/668361296']",Apple,True,all-time
502,Save on a new iPhone 16e by trading in your current iPhone.,Promoted,No image found,[],Active,/ad-library/detail/668361296,"['/ad-library/detail/668361296', '/ad-library/detail/668361296', '/ad-library/detail/668361296']",Apple,True,all-time
503,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
504,Save on a new iPhone 16e by trading in your current iPhone.,Save on a new iPhone 16e by trading in your current iPhone.,No image found,[],Active,No link found,[],Apple,,all-time
505,Échangez et économisez.,Promoted,No image found,[],Active,/ad-library/detail/640497434?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640497434?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640497434', '/ad-library/detail/640497434']",Apple,True,all-time
506,Échangez et économisez.,Promoted,No image found,[],Active,/ad-library/detail/640497434?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640497434?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640497434', '/ad-library/detail/640497434']",Apple,True,all-time
507,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
508,Échangez et économisez.,Échangez et économisez.,No image found,[],Active,No link found,[],Apple,,all-time
